"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"BIIO-MEDICAL APPLICATIONS OF TEXAS, INC.","672818","-","1721 S COLORADO ST","LOCKHART","TX","78644","14","KT/V COMPREHENSIVE","  99.62%","10","-","7","7"
"MERAMEC DIALYSIS, LLC","672819","-","1806 SOUTH COLORADO STREET","LOCKHART","TX","78644","14","KT/V COMPREHENSIVE","  93.15%","8","-","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.","672820","-","5895 KYLE PARKWAY","KYLE","TX","78640","14","KT/V COMPREHENSIVE","  93.82%","8","-","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS","672821","-","1675 HIGHWAY 71 EAST","BASTROP","TX","78602","14","KT/V COMPREHENSIVE","  98.10%","9","-","7","7"
"WINSTER DIALYSIS, LLC","672822","-","800 N TEXAS AVE","ODESSA","TX","79761","14","KT/V COMPREHENSIVE","  90.64%","8","-","7","7"
"INNOVATIVE DIALYSIS CENTER OF LUBBOCK, LLC","672823","-","1826 PARKWAY DR","LUBBOCK","TX","79403","14","KT/V COMPREHENSIVE","  93.66%","8","-","7","7"
"MADISON DIALYSIS, LLC","672824","-","11150 RESEARCH BLVD.","AUSTIN","TX","78759","14","KT/V COMPREHENSIVE","  96.91%","9","-","7","7"
"DSI EL PASO NORTH, LLC","672825","-","3359 FRED WILSON AVE","EL PASO","TX","79904","14","KT/V COMPREHENSIVE","  98.39%","9","-","7","7"
"MARGETTE DIALYSIS","672826","-","10424 INTERSTATE 10 EAST SUITE 100","BAYTOWN","TX","77523","14","KT/V COMPREHENSIVE","  92.02%","9","-","7","7"
"ATHIOS DIALYSIS, LLC","672827","-","6101 WINDHAVEN PKWY","PLANO","TX","75093","14","KT/V COMPREHENSIVE","  96.92%","9","-","7","7"
"DIAMOND DIALYSIS -MISSOURI CITY","672828","-","5603 HIGHWAY 6","MISSOURI CITY","TX","77459","14","KT/V COMPREHENSIVE","  85.31%","7","-","7","7"
"INNOVATIVE DIALYSIS SOLUTIONS AT HOME, PLLC","672829","-","2795 BULVERDE RD SUITE B","BULVERDE","TX","78163","14","KT/V COMPREHENSIVE","  41.77%","0","-","7","7"
"GADC, LLC","672830","-","3417 GASTON AVENUE SUITE 180","DALLAS","TX","75246","14","KT/V COMPREHENSIVE","  91.67%","1","-","7","7"
"GREATER IRVING II REGIONAL DIALYSIS CENTER, LLC","672831","-","1070 N WESTMORELAND ROAD","DALLAS","TX","75211","14","KT/V COMPREHENSIVE","  94.97%","9","-","7","7"
"USRC WEST UNIVERSITY, LLC","672832","-","9219 STELLA LINK","HOUSTON","TX","77025","14","KT/V COMPREHENSIVE","  95.40%","6","-","7","7"
"CROSSINGS DIALYSIS","672833","-","11600 BROADWAY STREET","PEARLAND","TX","77584","14","KT/V COMPREHENSIVE","  95.55%","9","-","7","7"
"FRESENIUS KIDNEY CARE CONCHO VALLEY, LLC","672834","-","2018 PULLIAM STREET","SAN ANGELO","TX","76905","14","KT/V COMPREHENSIVE","  96.72%","8","-","7","7"
"FRESENIUS KIDNEY CARE CONCHO VALLEY, LLC","672835","-","2008 NINE ROAD","BRADY","TX","76825","14","KT/V COMPREHENSIVE","  98.27%","9","-","7","7"
"FKC - EL PASO WEST","672836","-","1430 NORTHWESTERN DRIVE","EL PASO","TX","79912","14","KT/V COMPREHENSIVE","  90.74%","0","-","7","7"
"AR - GRAPEVINE KIDNEY CENTER, LLC","672837","-","1270 WILLIAM D. TATE AVE SUITE 300","GRAPEVINE","TX","76051","14","KT/V COMPREHENSIVE","  91.97%","2","-","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.","672838","-","10150 LEGACY DRIVE","FRISCO","TX","75033","14","KT/V COMPREHENSIVE","  93.57%","3","-","7","7"
"FMC ROLLING PLAINS, LLC","672839","-","100 EAST ARIZONA","SWEETWATER","TX","79556","14","KT/V COMPREHENSIVE","  95.54%","6","-","7","7"
"USRC BURLESON","672840","-","265 SW JOHN JONES DRIVE","BURLESON","TX","76028","14","KT/V COMPREHENSIVE","  88.43%","0","-","7","7"
"PHARIS DIALYSIS, LLC","672841","-","8486 BELLAIRE BLVD.","HOUSTON","TX","77036","14","KT/V COMPREHENSIVE","  77.08%","0","-","7","7"
"SOCORRO DIALYSIS","672842","-","10697 N. LOOP DR.","EL PASO","TX","79927","14","KT/V COMPREHENSIVE","  88.31%","0","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","672843","-","1006 EAST HWY 2","DONNA","TX","78537","14","KT/V COMPREHENSIVE","  92.42%","2","-","7","7"
"GULFGATE KIDNEY CENTER","672844","-","2916 WOODRIDGE DRIVE","HOUSTON","TX","77087","14","KT/V COMPREHENSIVE","  67.77%","0","-","7","7"
"FRESENIUS MEDICAL CARE NORTH EAST HOUSTON, LLC","672845","-","4810 E SAM HOUSTON PKWY N","HOUSTON","TX","77015","14","KT/V COMPREHENSIVE","  90.48%","8","-","7","7"
"USRC RICHARDSON, LLC","672846","-","3321 E. RENNER RD SUITE 100","RICHARDSON","TX","75082","14","KT/V COMPREHENSIVE","  86.70%","0","-","7","7"
"FRESENIUS MEDICAL CARE KINGWOOD, LLC","672847","-","9767 FM 1960 BYPASS RD W","HUMBLE","TX","77338","14","KT/V COMPREHENSIVE","  70.65%","6","-","7","7"
"BANNACK DIALYSIS, LLC","672848","-","12606 WEST PARK DRIVE","HOUSTON","TX","77082","14","KT/V COMPREHENSIVE","  98.72%","10","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","672849","-","2860 S. US HIGHWAY 83","ZAPATA","TX","78076","14","KT/V COMPREHENSIVE","  86.87%","0","-","7","7"
"CLOUGH DIALYSIS, LLC","672850","-","6116 SPORTS VILLAGE RD.","FRISCO","TX","75033","14","KT/V COMPREHENSIVE","  76.98%","0","-","7","7"
"PHOENIX DIALYSIS, LLC","672851","-","407 E. SOUTH STREET","WEIMAR","TX","78962","14","KT/V COMPREHENSIVE","  88.50%","0","-","7","7"
"RTC - EDINBURG CITRUS GROVE DIALYSIS","672852","-","404 S. VETERANS BLVD, STE D","EDINBURG","TX","78539","14","KT/V COMPREHENSIVE","  90.15%","0","-","7","7"
"SNG-PEARLAND DIALYSIS CENTER","672853","-","2850 KIRBY DRIVE","PEARLAND","TX","77584","14","KT/V COMPREHENSIVE","  93.45%","3","-","7","7"
"DSI CHINATOWN HEMODIALYSIS, LLC","672854","-","7329 W HOUSTON PARKWAY S, SUITE 101B","HOUSTON","TX","77072","14","KT/V COMPREHENSIVE","  94.49%","5","-","7","7"
"DSI CHINATOWN HOME, LLC","672855","-","7329 W HOUSTON PARKWAY S SUITE 101B","HOUSTON","TX","77072","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"USRC CONWAY, LLC","672856","-","200 WEST 2 MILE LINE","MISSION","TX","78574","14","KT/V COMPREHENSIVE","  88.41%","0","-","7","7"
"RENAL TREATMENT CENTERS-SOUTHEAST, LP","672857","-","6626 ANTOINE DR","HOUSTON","TX","77091","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"GREATER IRVING I REGIONAL DIALYSIS CENTER, LLC","672858","-","1950 NE GREEN OAKS BLVD SUITE 190","ARLINGTON","TX","76006","14","KT/V COMPREHENSIVE","  91.73%","1","-","7","7"
"SPACE CITY DIALYSIS PASADENA - DSI, LLC","672859","-","3402 BURKE ROAD SUITE 100","PASADENA","TX","77504","14","KT/V COMPREHENSIVE","  97.19%","8","-","7","7"
"PREMIER DIALYSIS-DSI, LLC","672860","-","8181 N STADIUM DRIVE SUITE 100","HOUSTON","TX","77054","14","KT/V COMPREHENSIVE","  82.28%","0","-","7","7"
"LYNWICK DIALYSIS, LLC","672861","-","439 E FM 1382","CEDAR HILL","TX","75104","14","KT/V COMPREHENSIVE","  93.22%","3","-","7","7"
"CROSKEE DIALYSIS, LLC","672862","-","10405 KATY FWY SUITE 140","HOUSTON","TX","77024","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DUNES DIALYSIS, LLC","672863","-","2922 N MASON RD. SUITE 100","KATY","TX","77449","14","KT/V COMPREHENSIVE","  94.86%","5","-","7","7"
"SNG PASADENA DIALYSIS CENTER LP","672864","-","5040 CRENSHAW ROAD SUITE 200","PASADENA","TX","77505","14","KT/V COMPREHENSIVE","  55.61%","0","-","7","7"
"FRESENIUS MEDICAL CARE SUGARLAND, LLC","672865","-","4675 SWEETWATER BLVD, SUITE B","SUGAR LAND","TX","77479","14","KT/V COMPREHENSIVE","  94.88%","5","-","7","7"
"USRC ROWLETT, LLC","672866","-","7600 LAKEVIEW PARKWAY SUITE 200","ROWLETT","TX","75088","14","KT/V COMPREHENSIVE","  77.65%","0","-","7","7"
"MEADOWS PLACE DIALYSIS-DSI, LLC","672867","-","4743 LEXINGTON BLVD","MISSOURI CITY","TX","77459","14","KT/V COMPREHENSIVE","  93.19%","3","-","7","7"
"TOLOWA DIALYSIS, LLC","672868","-","800 N SHILOH ROAD","GARLAND","TX","75042","14","KT/V COMPREHENSIVE","  96.02%","6","-","7","7"
"FRESENIUS MEDICAL CARE BEAMER","672869","-","12727 BEAMER ROAD","HOUSTON","TX","77089","14","KT/V COMPREHENSIVE","  88.84%","6","-","7","7"
"USRC SAN SABA, LLC","672870","-","215 N SAN SABA SUITE 101","SAN ANTONIO","TX","78207","14","KT/V COMPREHENSIVE","  97.81%","9","-","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.","672871","-","3 WINDCREST NATIONAL","MAGNOLIA","TX","77354","14","KT/V COMPREHENSIVE","  92.70%","2","-","7","7"
"ASCARATE DIALYSIS","672872","-","7281 ALAMEDA AVE","EL PASO","TX","79915","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"GOUACHE DIALYSIS, LLC","672873","-","2906 S BAGDAD RD STE 120","LEANDER","TX","78641","14","KT/V COMPREHENSIVE","  90.59%","0","-","7","7"
"MOUNTAIN PASS DIALYSIS","672874","-","5612 DYER STREET","EL PASO","TX","79904","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FRESENIUS MEDICAL CARE SAN ANTONIO, LLC","672875","-","5620 LONE STAR PARKWAY","SAN ANTONIO","TX","78253","14","KT/V COMPREHENSIVE","  98.32%","9","-","7","7"
"BIOMEDICAL APPLICATIONS OF TEXAS, INC","672876","-","1010 RONE DRIVE","WESLACO","TX","78596","14","KT/V COMPREHENSIVE","  93.38%","3","-","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.","672877","-","2441 MONARCH DR. SUITE 11","LAREDO","TX","78045","14","KT/V COMPREHENSIVE","  87.88%","0","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","672878","-","2443 MONARCH AVE","LAREDO","TX","78045","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DIALYSPA IV, LLC","672879","-","13444 SOUTHWEST FWY STE 1B","SUGAR LAND","TX","77478","14","KT/V COMPREHENSIVE","  72.51%","0","-","7","7"
"DIALYSPA V, LLC","672880","-","9223 WEST BROADWAY SUITE 109","PEARLAND","TX","77584","14","KT/V COMPREHENSIVE","  72.27%","0","-","7","7"
"FRESENIUS MEDICAL CARE NORTHSIDE DIALYSIS, LLC","672881","-","235 FM 1960 RD W STE 235C","HOUSTON","TX","77090","14","KT/V COMPREHENSIVE","  86.87%","0","-","7","7"
"FMC SAN ANTONIO, LLC","672882","-","5418 N LOOP 1604 W STE 120","SAN ANTONIO","TX","78249","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"I DIALYSIS, LLC","672883","-","8760 US HWY 59 SOUTH","NACOGDOCHES","TX","75964","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DIALYSPA VI, LLC","672884","-","6800 W LOOP SOUTH SUITE 190","BELLAIRE","TX","77401","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"APEX DIALYSIS AND PHARMACY, LLC","672885","-","6514 HIGHWAY 90A STE 103","SUGAR LAND","TX","77498","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DIAMOND DIALYSIS - STAFFORD TEXAS LLC","672886","-","3623 SOUTH MAIN STREET STE 100","STAFFORD","TX","77477","14","KT/V COMPREHENSIVE","  48.57%","0","-","7","7"
"EL PASO HEALTH, LLC","672887","-","2400 N OREGON ST STE C","EL PASO","TX","79902","14","KT/V COMPREHENSIVE","  95.06%","5","-","7","7"
"FMC SPRING KLEIN DIALYSIS CENTER, LLC","672888","-","5230 FM 2920 RD.","SPRING","TX","77388","14","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"BANFORT DIALYSIS, LLC","672889","-","2606 W. PECAN ST BLDG 3, STE 300","PFLUGERVILLE","TX","78660","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FMC SAN ANTONIO, LLC","672890","-","1313 VETERANS AVE SUITE E","CRYSTAL CITY","TX","78839","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"BIO-MEDICAL APPLICATION OF TEXAS, INC.","672891","-","26865 INTERSTATE 45 STE 100","SPRING","TX","77380","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"BIO-MEDICAL APPLICATIONS OF TEXAS INC","672892","-","6011 BROADWAY ST","GALVESTON","TX","77551","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"SWEENY DIALYSIS CARE, LLP","672893","-","208 N MCKINNEY ST STE 1","SWEENY","TX","77480","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FRESENIUS MEDICAL CARE RENNER ROAD, LLC","672894","-","3517 SPECTRUM BLVD","RICHARDSON","TX","75082","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"SLOSS DIALYSIS, LLC","672895","-","5414 FM 1960 RD E","HUMBLE","TX","77346","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"VANCLEER DIALYSIS, LLC","672896","-","18003 LONGENBAUGH RD","CYPRESS","TX","77433","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FRESENIUS MEDICAL CARE NEW CANEY DIALYSIS CENTER, LLC","672897","-","22310 MCCLESKEY RD","NEW CANEY","TX","77357","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FREEDOM DIALYSIS, INC.","672898","-","7746 HWY 6, STE C","MISSOURI CITY","TX","77459","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"KINKAID DIALYSIS, LLC","672899","-","7236 MEDICAL CENTER DR","TEXAS CITY","TX","77591","14","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"DSI - VIERA DIALYSIS","682500","-","8041 SPYGLASS HILL RD SUITE 101","VIERA","FL","32940","7","KT/V COMPREHENSIVE","  95.81%","6","-","7","7"
"CAPE CORAL NORTH DIALYSIS","682501","-","1315 SE 8TH TERRACE","CAPE CORAL","FL","33990","7","KT/V COMPREHENSIVE","  94.04%","4","-","7","7"
"FMC - LAKE CLARKE SHORES DIALYSIS CENTER","682502","-","3047 FOREST HILL BLVD","WEST PALM BEACH","FL","33406","7","KT/V COMPREHENSIVE","  95.88%","6","-","7","7"
"FMC - NORTH SARASOTA DIALYSIS CENTER","682503","-","8037 COOPER CREEK BLVD","UNIVERISTY PARK","FL","34201","7","KT/V COMPREHENSIVE","  98.21%","9","-","7","7"
"A UNIQUE KIDNEY CENTER LLC","682504","-","3105 N UNIVERSITY DR","DAVIE","FL","33024","7","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"PORT SAINT JOE DIALYSIS","682505","-","3871 HIGHWAY 98 E #101","PORT SAINT JOE","FL","32456","7","KT/V COMPREHENSIVE","  96.81%","7","-","7","7"
"FMC - PANAMA CITY","682506","-","2100 HARRISON AVE","PANAMA CITY","FL","32405","7","KT/V COMPREHENSIVE","  95.09%","5","-","7","7"
"AMERICARE RENAL CENTER","682507","-","2601 SOUTHWEST 37 AVE #138","MIAMI","FL","33133","7","KT/V COMPREHENSIVE","  84.14%","5","-","7","7"
"SOUTH DADE KIDNEY CENTER","682508","-","11040 SW 184 STREET","CUTLER BAY","FL","33157","7","KT/V COMPREHENSIVE","  98.74%","10","-","7","7"
"RENAL CARE PARTNERS OF WEST PALM BEACH","682509","-","300 EXECUTIVE CENTER DRIVE #101","WEST PALM BEACH","FL","33401","7","KT/V COMPREHENSIVE","  96.32%","7","-","7","7"
"MIAMI REGIONAL DIALYSIS CENTER WEST LLC","682510","-","900 PARK CENTRE BLVD #400-C","MIAMI GARDENS","FL","33169","7","KT/V COMPREHENSIVE","  98.52%","9","-","7","7"
"LAKES DIALYSIS CENTER","682511","-","7980 NW 155 ST 2ND FLOOR","MIAMI LAKES","FL","33016","7","KT/V COMPREHENSIVE","  97.84%","9","-","7","7"
"RENOVATION OF LIFE DIALYSIS CENTER","682512","-","14505 COMMERCE WAY #600","MIAMI LAKES","FL","33016","7","KT/V COMPREHENSIVE","  99.31%","10","-","7","7"
"NEW START DIALYSIS CENTER LLC","682513","-","900 NE 125 STREET #210","NORTH MIAMI","FL","33161","7","KT/V COMPREHENSIVE","  91.43%","1","-","7","7"
"BIG LAKE KIDNEY CENTER LLC","682515","-","3240 HIGHWAY 441 SOUTH","OKEECHOBEE","FL","34974","7","KT/V COMPREHENSIVE","  96.23%","7","-","7","7"
"MEMORIAL PLAZA DIALYSIS","682516","-","3901 UNIVERSITY BLVD S #111","JACKSONVILLE","FL","32216","7","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"LAKE VISTA DIALYSIS","682517","-","3187 US HWY 98 N","LAKELAND","FL","33805","7","KT/V COMPREHENSIVE","  97.01%","8","-","7","7"
"FMC - CLERMONT EAST","682518","-","17319 PAGONIA DR BLDG P UNIT 115","CLERMONT","FL","34711","7","KT/V COMPREHENSIVE","  94.63%","5","-","7","7"
"PLANTATION DIALYSIS - ELLENTON","682519","-","3820 US HIGHWAY 301 N","ELLENTON","FL","34222","7","KT/V COMPREHENSIVE","  99.68%","10","-","7","7"
"CARROLLWOOD DIALYSIS","682520","-","14358 N DALE MABRY HWY","TAMPA","FL","33618","7","KT/V COMPREHENSIVE","  94.89%","5","-","7","7"
"SOUTH FLORIDA DIALYSIS CENTER CORP","682521","-","8057 NORTHWEST 155 STREET","MIAMI LAKES","FL","33016","7","KT/V COMPREHENSIVE","  96.77%","7","-","7","7"
"ST PETERSBURG KIDNEY CARE","682522","-","800 3RD AVE S. WEBB PLAZA","SAINT PETERSBURG","FL","33701","7","KT/V COMPREHENSIVE","  98.75%","10","-","7","7"
"CROWN DIALYSIS CENTER OF PALM BEACH LLC","682523","-","4701 N FEDERAL HIGHWAY","BOCA RATON","FL","33431","7","KT/V COMPREHENSIVE","  85.34%","5","-","7","7"
"FRESENIUS KIDNEY CARE-ST PETERSBURG","682525","-","446 4TH STREET S","SAINT PETERSBURG","FL","33701","7","KT/V COMPREHENSIVE","  97.97%","9","-","7","7"
"JACKSONVILLE ARLINGTON DIALYSIS","682526","-","929 UNIVERSITY BLVD N","JACKSONVILLE","FL","32211","7","KT/V COMPREHENSIVE","  96.48%","7","-","7","7"
"DORAL KIDNEY CENTER","682527","-","7755 NW 48TH ST #120","DORAL","FL","33166","7","KT/V COMPREHENSIVE","  95.92%","6","-","7","7"
"DONATE MEDICAL CENTER","682528","-","1871 CORAL WAY #101","MIAMI","FL","33145","7","KT/V COMPREHENSIVE","  90.99%","3","-","7","7"
"DOWNTOWN PENSACOLA DIALYSIS","682529","-","700 E CERVANTES ST #A","PENSACOLA","FL","32501","7","KT/V COMPREHENSIVE","  97.75%","9","-","7","7"
"SILVER SPRINGS SHORES DIALYSIS","682530","-","9310 SPRING RD","OCALA","FL","34472","7","KT/V COMPREHENSIVE","  96.49%","7","-","7","7"
"GAINESVILLE HOME DIALYSIS","682531","-","4960 W NEWBERRY RD #280","GAINESVILLE","FL","32607","7","KT/V COMPREHENSIVE","  94.77%","5","-","7","7"
"PALATKA DIALYSIS","682532","-","326 ZEAGLER DR","PALATKA","FL","32177","7","KT/V COMPREHENSIVE","  97.49%","8","-","7","7"
"FMC - BREVARD HOME THERAPIES","682533","-","2200 W EAU GALLIE BLVD #202A","MELBOURNE","FL","32935","7","KT/V COMPREHENSIVE","  83.83%","0","-","7","7"
"HOME OPTIONS OF PENSACOLA","682534","-","812 CREIGHTON RD","PENSACOLA","FL","32504","7","KT/V COMPREHENSIVE","  99.05%","10","-","7","7"
"LAUDERHILL DIALYSIS","682535","-","2916 N STATE ROAD 7","LAUDERDALE LAKES","FL","33313","7","KT/V COMPREHENSIVE","  96.89%","7","-","7","7"
"PROFESSIONAL DIALYSIS CENTER","682536","-","10021 PINES BLVD #201","PEMBROKE PINES","FL","33024","7","KT/V COMPREHENSIVE","  86.97%","3","-","7","7"
"FMC - DORAL","682537","-","11251 NW 20TH ST #105","DORAL","FL","33172","7","KT/V COMPREHENSIVE","  97.56%","8","-","7","7"
"KISSIMMEE HOME TRAINING","682538","-","1203 N CENTRAL AVE #A","KISSIMMEE","FL","34741","7","KT/V COMPREHENSIVE","  95.45%","6","-","7","7"
"COASTAL DIALYSIS CENTER","682539","-","641 UNIVERSITY BLVD #209","JUPITER","FL","33458","7","KT/V COMPREHENSIVE","  90.72%","0","-","7","7"
"DEERFIELD BEACH DIALYSIS","682540","-","1983 W HILLSBORO BLVD","DEERFIELD BEACH","FL","33442","7","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"GREENACRES DIALYSIS CENTER","682541","-","5702 LAKE WORTH ROAD #1","GREENACRES","FL","33463","7","KT/V COMPREHENSIVE","  97.64%","8","-","7","7"
"FORT MYERS KIDNEY CARE CENTER","682542","-","14181 S TAMIAMI TRAIL #120","FORT MYERS","FL","33912","7","KT/V COMPREHENSIVE","  95.21%","7","-","7","7"
"PLANTATION HOME TRAINING","682543","-","8144 W BROWARD BLVD","PLANTATION","FL","33324","7","KT/V COMPREHENSIVE","  93.63%","4","-","7","7"
"JOHNSON DIALYSIS CENTER - DAVIE","682544","-","3105 N UNIVERSITY DR SUITE #103","DAVIE","FL","33024","7","KT/V COMPREHENSIVE","  97.88%","9","-","7","7"
"ARLINGTON DIALYSIS CENTER","682545","-","7645 MERRILL RD #204","JACKSONVILLE","FL","32277","7","KT/V COMPREHENSIVE","  99.03%","10","-","7","7"
"ULTIMATE CARE DIALYSIS CENTER","682546","-","2720 SW 97TH #201","MIAMI","FL","33165","7","KT/V COMPREHENSIVE","  89.08%","0","-","7","7"
"KIDNEY KARE OF JACKSONVILLE, INC","682547","-","4168 SOUTHPOINT PARKWAY SUITE 103","JACKSONVILLE","FL","32216","7","KT/V COMPREHENSIVE","  88.27%","0","-","7","7"
"FMC - GULF BREEZE","682548","-","2583 GULF BREEZE PARKWAY","GULF BREEZE","FL","32563","7","KT/V COMPREHENSIVE","  99.45%","10","-","7","7"
"OVIEDO DIALYSIS","682549","-","7560 RED BUG LAKE RD #1048","OVIEDO","FL","32765","7","KT/V COMPREHENSIVE","  98.53%","9","-","7","7"
"OCOEE HOME TRAINING","682550","-","1552 BOREN DR #100","OCOEE","FL","34761","7","KT/V COMPREHENSIVE","  93.16%","3","-","7","7"
"FMC - WEST JACKSONVILLE","682551","-","5607 NORMANDY BLVD","JACKSONVILLE","FL","32205","7","KT/V COMPREHENSIVE","  87.38%","0","-","7","7"
"WINTER HAVEN SOUTH DIALYSIS","682552","-","7220 CYPRESS GARDENS BLVD","WINTER HAVEN","FL","33884","7","KT/V COMPREHENSIVE","  97.32%","8","-","7","7"
"NXSTAGE KIDNEY CARE - JACKSONVILLE","682553","-","2777 UNIVERSITY BLVD W #39","JACKSONVILLE","FL","32217","7","KT/V COMPREHENSIVE","  70.62%","0","-","7","7"
"DCI UNIVERSITY OF FLORIDA HOME PROGRAM","682554","-","3750 NW 83RD ST","GAINESVILLE","FL","32606","7","KT/V COMPREHENSIVE","  98.32%","9","-","7","7"
"HOLLYWOOD DIALYSIS","682555","-","4000 HOLLYWOOD BLVD #175-S","HOLLYWOOD","FL","33021","7","KT/V COMPREHENSIVE","  95.81%","6","-","7","7"
"GOLDEN GLADES DIALYSIS","682556","-","15600 NW 15TH AVE #D","MIAMI","FL","33169","7","KT/V COMPREHENSIVE","  98.15%","9","-","7","7"
"FMC - SOUTH FLORIDA HOME THERAPIES","682557","-","3508 N UNIVERSITY DRIVE #300A","SUNRISE","FL","33351","7","KT/V COMPREHENSIVE","  84.89%","0","-","7","7"
"FMC - WAUCHULA","682558","-","457 CARLTON ST","WAUCHULA","FL","33873","7","KT/V COMPREHENSIVE","  99.08%","10","-","7","7"
"BEACH BOULEVARD DIALYSIS","682560","-","14444 BEACH BLVD #B","JACKSONVILLE","FL","32250","7","KT/V COMPREHENSIVE","  99.65%","10","-","7","7"
"ST AUGUSTINE HOME TRAINING","682561","-","252 SOUTHPARK CIR E","SAINT AUGUSTINE","FL","32086","7","KT/V COMPREHENSIVE","  95.15%","5","-","7","7"
"ST PETERSBURG KIDNEY CARE SOUTH","682562","-","4050 34TH ST S","SAINT PETERSBURG","FL","33711","7","KT/V COMPREHENSIVE","  97.03%","8","-","7","7"
"BUENA VENTURA LAKES DIALYSIS","682563","-","1998 E OSCEOLA PKWY","KISSIMMEE","FL","34743","7","KT/V COMPREHENSIVE","  94.16%","4","-","7","7"
"KEYS GATE DIALYSIS","682564","-","1982 NE 8TH ST","HOMESTEAD","FL","33033","7","KT/V COMPREHENSIVE","  96.18%","7","-","7","7"
"FMC - SPACE COAST","682565","-","577 BARNES BLVD #100","ROCKLEDGE","FL","32955","7","KT/V COMPREHENSIVE","  96.45%","7","-","7","7"
"DUNN AVENUE DIALYSIS","682566","-","1215 DUNN AVE #8","JACKSONVILLE","FL","32218","7","KT/V COMPREHENSIVE","  95.75%","6","-","7","7"
"LAKE MARY DIALYSIS","682567","-","39 SKYLINE DR #1001","LAKE MARY","FL","32746","7","KT/V COMPREHENSIVE","  94.19%","4","-","7","7"
"COLUMBIA COUNTY DIALYSIS","682568","-","1389 W US HWY 90 #100A","LAKE CITY","FL","32055","7","KT/V COMPREHENSIVE","  98.46%","9","-","7","7"
"FMC - PALM BAY","682569","-","450 MALABAR RD SE #101","PALM BAY","FL","32907","7","KT/V COMPREHENSIVE","  95.53%","6","-","7","7"
"FMC - NICEVILLE","682571","-","4304 LANCASTER DR","NICEVILLE","FL","32578","7","KT/V COMPREHENSIVE","  98.66%","10","-","7","7"
"CLAY COUNTY DIALYSIS","682572","-","1784 BLANDING BLVD SUITE #4","MIDDLEBURG","FL","32068","7","KT/V COMPREHENSIVE","  97.25%","8","-","7","7"
"OCALA WEST HOME TRAINING","682573","-","8615 SW 103RD STREET RD","OCALA","FL","34481","7","KT/V COMPREHENSIVE","  94.20%","4","-","7","7"
"MANASOTA DIALYSIS","682574","-","6960 PROFESSIONAL PKWY E UNITS 4 & 5","SARASOTA","FL","34240","7","KT/V COMPREHENSIVE","  98.17%","9","-","7","7"
"FMC - SARASOTA COASTAL DIALYSIS CENTER","682575","-","2989 FRUITVILLE RD","SARASOTA","FL","34237","7","KT/V COMPREHENSIVE","  97.56%","8","-","7","7"
"NXSTAGE ORLANDO NORTH","682576","-","174 STATE ROAD 436 #D102","CASSELBERRY","FL","32707","7","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"WEST BOYNTON DIALYSIS","682577","-","10150 HAGEN RANCH RD #101","BOYNTON BEACH","FL","33437","7","KT/V COMPREHENSIVE","  97.42%","8","-","7","7"
